Al - Zaman : American forces killed Shaikh Abdullah al - Ani , the preacher at the mosque in the town of Qaim , near the Syrian border .	Al - Zaman : America @@n force @@s kill @@ed Shaikh Abdullah al - Ani , the preach @@er at the mosque in the town of Qaim , near the Syria @@an border .
[ This killing of a respected cleric will be causing us trouble for years to come . ]	[ This kill @@ing of a respect @@ed cleric will be cause @@ing us trouble for year @@s to come . ]
DPA : Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad .	DPA : Iraq @@i authority @@s announce @@ed that they have @@ed bust @@ed up 3 terror @@ist cell @@s opera @@ate @@ing in Baghdad .
Two of them were being run by 2 officials of the Ministry of the Interior !	Two of them were be @@ing run by 2 office @@ial @@s of the Minister @@y of the Interior !
The third was being run by the head of an investment firm .	The third was be @@ing run by the head of an invest @@ment firm .
You wonder if he was manipulating the market with his bombing targets .	You wonder if he was manipulate @@ing the market with his bomb @@ing targe @@et @@s .
The cells were operating in the Ghazaliyah and al - Jihad districts of the capital .	The cell @@s were opera @@ate @@ing in the Ghazaliyah and al - Jihad district @@s of the capital .
Although the announcement was probably made to show progress in identifying and breaking up terror cells , I do n't find the news that the Baathists continue to penetrate the Iraqi government very hopeful .	Although the announce @@ment was probable @@ly made to show progress in identity @@fy @@ing and break @@ing up terror cell @@s , I do n't find the new @@s that the Baath @@ist @@s continue to penetrate the Iraq @@i govern @@ment very hope @@ful .
It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .	It re @@mind @@s me too much of the ARVN office @@er @@s who were secret @@ly work @@ing for the other side in Vietnam .
Al - Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul .	Al - Zaman : Guerrilla @@s kill @@ed a member of the Kurd @@stan Democrat @@ic Party after kid @@nap @@ing him in Mosul .
The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .	The police command @@er of Ninevah Province announce @@ed that bomb @@ing @@s have @@ed decline @@ed 80 percent in Mosul , where @@as there have @@ed be @@en a big jump in the numb @@er of kid @@nap @@ing @@s .
On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home .	On Wednesday guerrilla @@s have @@ed kid @@nap @@ed a cosmetic surgeon and his wife while they were on their way home .
In Suwayrah , Kut Province , two car bombs were discovered before they could be detonated .	In Suwayrah , Kut Province , two car bomb @@s were dis @@cover @@ed before they could be detonate @@ed .
( Kut is in southeastern Iraq and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in .	( Kut is in south @@east @@ern Iraq and have @@s an over @@whelm @@ing @@ly Shia @@ite populate @@ion , who are on the lookout for Baath @@ist saboteur @@s and will @@ing @@ly turn them in .
This willingness is the main difference in the number of bombings in the south as opposed to the center - north of the country . )	This will @@ing @@ness is the main differ @@ence in the numb @@er of bomb @@ing @@s in the south as oppose @@ed to the center - north of the country . )
In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .	In Baghdad Kadhim Talal Husain , assist @@ant dean at the School of Educate @@ion at Mustansiriyah University , was assassin @@ate @@ed with his drive @@er in the Salikh district .
Guerrillas killed an engineer , Asi Ali , from Tikrit .	Guerrilla @@s kill @@ed an engine @@eer , Asi Ali , from Tikrit .
They also killed Shaikh Hamid 'Akkab , a clan elder of a branch of the Dulaim tribe in Tikrit .	They also kill @@ed Shaikh Hamid 'Akkab , a clan eld @@er of a branch of the Dulaim tribe in Tikrit .
His mother was also killed in the attack .	His mother was also kill @@ed in the attack .
Two other Dulaim leaders have been killed in the past week and a half .	Two other Dulaim lead @@er @@s have be @@en kill @@ed in the past week and a half .
Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers .	Guerrilla @@s near Hawijah launch @@ed an attack that left 6 dead , include @@ing 4 Iraq @@i soldier @@s .
One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison .	One of them was from the Jubur tribe and was depute @@y command @@er of the Hawijah garrison .
( This is a largely Sunni Arab clan , and some Sunni observers have accused Shiite elements in the government of being behind the assassination ; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec. 15 elections . )	( This is a large @@ly Sunni Arab clan , and some Sunni observe @@er @@s have accuse @@ed Shia @@ite element @@s in the govern @@ment of be @@ing be @@hind the assassin @@ate @@ion ; it is more like @@ly the work of Sunni Arab guerrilla @@s punish @@ing the Batawi lead @@er @@s for cooperate @@ing with the Dec. 15 elect @@ion @@s . )
Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office .	Al - Zaman : The Iraq @@i High Electoral Commission on Friday deny @@ed a request of the Debaathification Commission to exclude 51 individual @@s from running on party list @@s in the Dec. 15 elect @@ion @@s on ground @@s of have @@ing be @@en sufficient @@ly involve @@ed in Baath act @@ive @@ity @@s to warrant their be @@ing exclude @@ed from civil office .
The Commission said it had no legal grounds for such an exclusion .	The Commission say @@ed it have @@ed no legal ground @@s for such an exclude @@ion .
This item is a small one and easily missed .	This item is a small one and ease @@y @@ly miss @@ed .
But in my view it is highly significant .	But in my view it is high @@ly significant .
The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard , and had pushed many Sunni Arabs into the arms of the guerrillas .	The Debaathification Commission have @@ed be @@en push @@ed by Ahmad Chalabi and his Iraq @@i National Congress very hard , and have @@ed push @@ed many Sunni Arab @@s in @@to the arm @@s of the guerrilla @@s .
Chalabi has been increasingly marginalized within Iraq , however , despite his ties of clientelage with Washington and Tehran .	Chalabi have @@s be @@en increase @@ing @@ly margin @@al @@ize @@ed with @@in Iraq , how @@ever , de @@spite his tie @@s of clientelage with Washington and Tehran .
He is no longer in the dominant Shiite list , the United Iraqi Alliance , and wo n't have many seats in the new parliament .	He is no longer in the dominate @@ant Shia @@ite list , the United Iraq @@i Ally @@ance , and wo n't have many seat @@s in the new parliament .
Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have .	Some 2,000 junior office @@er @@s of the old Baath arm @@y have be @@en re @@call @@ed to duty in recent month @@s , some @@thing Chalabi would have block @@ed if he could have .
Now the Electoral Commission is refusing to punish people for mere past Baath Party membership .	Now the Electoral Commission is re @@fuse @@ing to punish people for mere past Baath Party member @@ship .
If someone committed a crime against humanity , prosecute the person .	If some @@one commit @@ed a crime again @@st human @@ity , prosecute the person .
If he or she did not , then they should have all the same rights as other Iraqis .	If he or she did not , then they should have all the same right @@s as other Iraq @@i @@s .
